dataset,dataset_class,canonical_crop,canonical_disease,pathogen_name,pathogen_type,candidate_action_class,action_summary,source_name,source_url,source_identifier,evidence_summary,evidence_checked_at,mapping_confidence,review_status,review_notes,reviewer,reviewed_at
PlantDoc,Apple Scab Leaf,apple,apple scab,Venturia inaequalis,fungal,fungicide,Reduce primary spring infections; leaf-litter breakdown; timed protectant/SI fungicides.,UC IPM Pest Management Guidelines — Apple,https://ipm.ucanr.edu/agriculture/apple/apple-scab/,apple-scab,'The main objective in scab management is the reduction or prevention of primary infections in spring.',2026-07-28,high,needs_review,,,
PlantDoc,Apple rust leaf,apple,cedar-apple rust,Gymnosporangium juniperi-virginianae,fungal,fungicide,Sterol-inhibitor fungicides; resistant apple/juniper cultivars; gall removal (limited).,Ohio State University Extension (CFAES),https://cfaes.osu.edu/fact-sheet/cedar-apple-rust,cedar-apple-rust,'Fungicide application to manage cedar-apple rust is commonly included in the disease management programs of many apple production systems.',2026-07-28,high,needs_review,No UC IPM page (eastern-US disease); EPPO GYMNJV is taxonomy-only.,,
PlantDoc,Corn Gray leaf spot,corn,gray leaf spot,Cercospora zeae-maydis,fungal,fungicide,Partial-resistance hybrids; rotation + residue management; fungicide VT–R2 on susceptible hybrids.,Ohio State University Extension — Ohioline (PLPATH-CER-05),https://ohioline.osu.edu/factsheet/plpath-cer-05,plpath-cer-05,'Hybrids with partial resistance to GLS are available. Ask your seed supplier for these hybrids.',2026-07-28,high,needs_review,Not covered by UC IPM corn; independently spot-verified.,,
PlantDoc,Corn leaf blight,corn,northern corn leaf blight,Exserohilum turcicum (Setosphaeria turcica),fungal,fungicide,Resistant hybrids (most effective); rotation 1–2 yr; tillage; fungicide at tasseling/silking.,Ohio State University Extension — Ohioline (PLPATH-CER-10),https://ohioline.osu.edu/factsheet/plpath-cer-10,plpath-cer-10,'Planting resistant hybrids is the most effective method for controlling NCLB.',2026-07-28,high,needs_review,UC IPM corn lists only a different Exserohilum root rot (not cited).,,
PlantDoc,Corn rust leaf,corn,common rust,Puccinia sorghi,fungal,fungicide,Resistant hybrids; fungicides generally not required under California conditions.,UC IPM Pest Management Guidelines — Corn (Common Rust),https://ipm.ucanr.edu/PMG/r113100811.html,r113100811.html,'Use resistant hybrids to prevent common rust.',2026-07-28,high,needs_review,,,
PlantDoc,Potato leaf early blight,potato,early blight,Alternaria solani,fungal,fungicide,Optimum growing conditions; later-maturing varieties; monitor; fungicide 7–10 d when justified.,UC IPM Pest Management Guidelines — Potato (Early Blight),https://ipm.ucanr.edu/agriculture/potato/early-blight/,early-blight,"'Early blight can be minimized by maintaining optimum growing conditions, including proper fertilization, irrigation, and management of other pests.'",2026-07-28,high,needs_review,,,
PlantDoc,Potato leaf late blight,potato,late blight,Phytophthora infestans,oomycete,fungicide,Eliminate cull piles/volunteers; certified seed; preventive fungicide 7–10 d; vine kill before harvest.,UC IPM Pest Management Guidelines — Potato (Late Blight),https://ipm.ucanr.edu/agriculture/potato/late-blight/,late-blight,"'Late blight is controlled by eliminating cull piles and volunteer potatoes, using proper harvesting and storage practices, and applying fungicides when necessary.'",2026-07-28,high,needs_review,"OOMYCETE (water mould), not a true fungus; UC IPM prose loosely says 'fungus'. Maps to fungicide per brief §3.1.",,
PlantDoc,Squash Powdery mildew leaf,squash,powdery mildew,Podosphaera xanthii (also Erysiphe/Golovinomyces),fungal,fungicide,"Resistant varieties; sanitation; weed control; treat at first symptoms, alternate fungicide MOA.",UC IPM Pest Management Guidelines — Cucurbits (Powdery Mildew),https://ipm.ucanr.edu/agriculture/cucurbits/powdery-mildew/,powdery-mildew,"'Plant resistant varieties, follow good sanitation practices, and control weeds.'",2026-07-28,high,needs_review,,,
PlantDoc,grape leaf black rot,grape,black rot,Guignardia bidwellii (Phyllosticta ampelicida),fungal,fungicide,Sanitation — remove mummies + prune diseased wood; fungicides early bloom to 3–4 wk after bloom.,Ohio State University Extension — Ohioline (PLPATH-FRU-24),https://ohioline.osu.edu/factsheet/plpath-fru-24,plpath-fru-24,'Fungicides should be sprayed during the period from early bloom through three to four weeks after bloom.',2026-07-28,high,needs_review,No UC IPM page (minor CA disease); EPPO GUIGBI is taxonomy-only.,,
PlantDoc,Tomato Early blight leaf,tomato,early blight,Alternaria solani,fungal,fungicide,"Destroy volunteer/nightshade hosts; rotation; protectant fungicides (chlorothalonil, mancozeb, copper).",UC IPM Pest Management Guidelines — Tomato (Early Blight),https://ipm.ucanr.edu/agriculture/tomato/early-blight/,early-blight,'Destroy nightshades and volunteer tomato and potato plants. Proper crop rotation is important...',2026-07-28,high,needs_review,,,
