canonical_class_id,plantvillage_label,plantdoc_label,crop,disease_state,mapping_evidence,evidence_source,inclusion_status,exclusion_reason
apple__healthy,Apple___healthy,Apple leaf,apple,healthy,"policy:healthy-monitor-v1: data/mapping/action_mapping_review.csv records canonical_disease=healthy, review_status=approved for 'Apple leaf'; the PlantVillage label 'Apple___healthy' carries the literal 'healthy' token",human_approved_healthy_policy,included,
apple__scab,Apple___Apple_scab,Apple Scab Leaf,apple,scab,"ica26.mapping.crosswalk.normalize_crop/normalize_disease applied unchanged to both labels yields the identical key ('apple', 'scab')",deterministic_normalizer_key_collision,included,
blueberry__healthy,Blueberry___healthy,Blueberry leaf,blueberry,healthy,"policy:healthy-monitor-v1: data/mapping/action_mapping_review.csv records canonical_disease=healthy, review_status=approved for 'Blueberry leaf'; the PlantVillage label 'Blueberry___healthy' carries the literal 'healthy' token",human_approved_healthy_policy,included,
cherry__healthy,Cherry_(including_sour)___healthy,Cherry leaf,cherry,healthy,"policy:healthy-monitor-v1: data/mapping/action_mapping_review.csv records canonical_disease=healthy, review_status=approved for 'Cherry leaf'; the PlantVillage label 'Cherry_(including_sour)___healthy' carries the literal 'healthy' token",human_approved_healthy_policy,included,
grape__black_rot,Grape___Black_rot,grape leaf black rot,grape,black rot,"ica26.mapping.crosswalk.normalize_crop/normalize_disease applied unchanged to both labels yields the identical key ('grape', 'black rot')",deterministic_normalizer_key_collision,included,
grape__healthy,Grape___healthy,grape leaf,grape,healthy,"policy:healthy-monitor-v1: data/mapping/action_mapping_review.csv records canonical_disease=healthy, review_status=approved for 'grape leaf'; the PlantVillage label 'Grape___healthy' carries the literal 'healthy' token",human_approved_healthy_policy,included,
peach__healthy,Peach___healthy,Peach leaf,peach,healthy,"policy:healthy-monitor-v1: data/mapping/action_mapping_review.csv records canonical_disease=healthy, review_status=approved for 'Peach leaf'; the PlantVillage label 'Peach___healthy' carries the literal 'healthy' token",human_approved_healthy_policy,included,
pepper__healthy,"Pepper,_bell___healthy",Bell_pepper leaf,pepper,healthy,"policy:healthy-monitor-v1: data/mapping/action_mapping_review.csv records canonical_disease=healthy, review_status=approved for 'Bell_pepper leaf'; the PlantVillage label 'Pepper,_bell___healthy' carries the literal 'healthy' token",human_approved_healthy_policy,included,
potato__early_blight,Potato___Early_blight,Potato leaf early blight,potato,early blight,"ica26.mapping.crosswalk.normalize_crop/normalize_disease applied unchanged to both labels yields the identical key ('potato', 'early blight')",deterministic_normalizer_key_collision,included,
potato__late_blight,Potato___Late_blight,Potato leaf late blight,potato,late blight,"ica26.mapping.crosswalk.normalize_crop/normalize_disease applied unchanged to both labels yields the identical key ('potato', 'late blight')",deterministic_normalizer_key_collision,included,
